customer_id,first_name,last_name,email,phone,country,city,address,created_at
1,Valerie,Gonzalez,brownkristen@example.net,001-902-803-8052x4565,Malaysia,Anthonybury,"381 Ronnie Mills Suite 270 Cohentown, DC 34488",2022-12-15T18:26:14
2,Kathleen,Patton,kristin93@example.net,001-415-964-2771x416,Suriname,Stephensbury,"462 Jacob Hill Suite 180 Lake Mirandachester, MO 69854",2020-01-10T11:43:16
3,Paula,Rice,yrivera@example.net,899.837.6456,Israel,Damonberg,"58011 Justin Flats South Daniellebury, MT 59037",2017-11-21T05:35:18
4,Mary,Jimenez,chloe23@example.com,001-306-689-6522x18056,Wallis and Futuna,Perezside,"377 Stephanie Expressway West Linda, MT 78170",2022-01-05T18:18:35
5,Ralph,Barron,sandra97@example.net,971.553.8749,Hong Kong,Milesshire,"58576 Proctor Manor North Robertport, FM 15621",2024-05-17T02:40:10
6,Terrance,Hall,zblackburn@example.org,987-922-2860x5349,Tokelau,Wendyberg,"75130 Hernandez Vista Lake Kelly, HI 47769",2022-06-10T02:43:08
7,John,Luna,dfritz@example.net,+1-809-289-3639x466,Croatia,Scottview,"2746 Rodgers Roads Suite 075 Reynoldschester, MA 20489",2017-07-08T07:06:26
8,Zachary,Ingram,carrcody@example.org,307.883.0496x57773,Wallis and Futuna,New Michaelshire,"38965 Justin Radial Suite 313 Carlsonburgh, ND 34815",2015-05-13T20:12:04
9,Matthew,Johnson,taylorchristine@example.com,(898)942-3809,Cook Islands,New Jennifer,"4829 Omar Passage Suite 758 Port Jessica, NV 11096",2020-02-11T21:47:51
10,Angela,Bowman,tsullivan@example.net,001-269-729-0197,Tunisia,South Jamesbury,"8699 Raymond Points East Brandy, PW 31019",2024-10-28T04:10:06
11,Michelle,Doyle,jacob32@example.org,494.973.9011,Ghana,Lake Johnfurt,"44523 Bauer Trace Lucastown, SC 21312",2024-10-01T10:39:54
12,Joseph,Maldonado,robingriffin@example.org,7078199329,Senegal,Jameston,"4047 Kimberly Neck Carlfort, NJ 85978",2017-11-17T03:57:22
13,Daniel,Waters,ilamb@example.com,795-464-2442,Saudi Arabia,Port Davidbury,"684 Larson Gardens Suite 382 Lake Meghanfort, WY 89584",2016-09-16T22:03:16
14,Nicholas,Harrison,jessicacontreras@example.net,390.445.8738x5893,Western Sahara,Lake Crystalshire,"0336 Washington Fords Apt. 947 Jeanettestad, HI 37723",2023-06-13T01:13:35
15,Karen,Marshall,james72@example.com,946-933-7227,Guatemala,Michaelmouth,"48178 John Ford Mccoyport, FL 47792",2019-05-09T12:41:47
16,Robin,Carter,bsmith@example.com,634-353-5938,Denmark,New Lauriehaven,"4434 Kelly Mission Roymouth, PW 69383",2018-08-14T21:48:53
